name,brand,sku,category,description,unit,packSizeLabel,minOrderQuantity,stockQuantity,stock,shelfLifeDays,storageType,status,isFeatured,isBestseller,ratingAverage,ratingCount,purchaseCount,displayOrder,badges,primaryImage,images,variety1_name,variety1_originalPrice,variety1_discountedPrice,variety1_isAvailable,variety2_name,variety2_originalPrice,variety2_discountedPrice,variety2_isAvailable,variety3_name,variety3_originalPrice,variety3_discountedPrice,variety3_isAvailable
Mozzarella Cheese Block 1,Amul,DAIRY-001,DAIRY,"Amul mozzarella cheese block for restaurant kitchens, suitable for bulk prep and back-of-house operations.",kg,1 kg pack,2,52,Ready stock,120,chilled,available,false,false,4.1,11,45,1,"Bulk value,Kitchen essential",https://commons.wikimedia.org/wiki/Special:Redirect/file/Mozzarella%20cheese.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Mozzarella%20cheese.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Mozzarella%20cheese%20%281%29.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Mozzarella.JPG,1 kg pack,123,113,true,5 kg pack,492,467,true,,,,
Pizza Pasta Sauce 2,Veeba,SAUCES-002,SAUCES,"Veeba pizza pasta sauce for restaurant kitchens, suitable for bulk prep and back-of-house operations.",jars,1 jar,3,54,Ready stock,270,ambient,available,false,false,4.2,12,50,2,"Restaurant staple,High repeat",https://commons.wikimedia.org/wiki/Special:Redirect/file/Pasta%20sauce%20%282997489359%29.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Pasta%20sauce%20%282997489359%29.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Pasta%20sauce%20ingredients.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Spaghetti%20and%20Sauce.jpg,1 jar,126,116,true,6 jar case,504,479,true,,,,
Garlic Spread 3,Cremica,SPREAD-003,SPREADS,"Cremica garlic spread for restaurant kitchens, suitable for bulk prep and back-of-house operations.",jars,1 jar,4,56,Dispatch in 24 hrs,120,chilled,available,false,false,4.3,13,55,3,"Bulk value,Kitchen essential",https://commons.wikimedia.org/wiki/Special:Redirect/file/Garlic%20sauce.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Garlic%20sauce.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Ginger%20Garlic%20Paste.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Roasted%20Garlic%20Paste.jpg,1 jar,129,119,true,6 jar case,516,491,true,,,,
Refined Cooking Oil 4,Fortune,OILS-004,OILS,"Fortune refined cooking oil for restaurant kitchens, suitable for bulk prep and back-of-house operations.",cans,1 can,5,58,Ready stock,270,ambient,available,false,false,4.4,14,60,4,"Restaurant staple,High repeat",https://commons.wikimedia.org/wiki/Special:Redirect/file/Cooking%20oil.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cooking%20oil.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Peanut%20oil%20bottle.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Corn%20oil.jpg,1 can,132,122,true,12 can case,528,503,true,,,,
Corn Flour 5,Weikfield,DRYGOO-005,DRY GOODS,"Weikfield corn flour for restaurant kitchens, suitable for bulk prep and back-of-house operations.",packs,1 pack,1,60,Ready stock,270,dry,available,false,false,4.5,15,65,5,"Bulk value,Kitchen essential",https://commons.wikimedia.org/wiki/Special:Redirect/file/Corn%20Flour.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Corn%20Flour.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Corn%20flour.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Corn%20flour%20%2820240709%29.jpg,1 pack,135,125,true,10 pack carton,540,515,true,,,,
Dry Yeast 6,Angel,BAKERY-006,BAKERY INGREDIENTS,"Angel dry yeast for restaurant kitchens, suitable for bulk prep and back-of-house operations.",packs,1 pack,2,62,Dispatch in 24 hrs,270,dry,available,false,false,4.6,16,70,6,"Restaurant staple,High repeat",https://commons.wikimedia.org/wiki/Special:Redirect/file/Dry%20yeast.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Dry%20yeast.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Dry%20Yeast%20%2850995087326%29.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/%D0%94%D1%80%D0%BE%D0%B6%D0%B6%D0%B8%20%D1%81%D1%83%D1%85%D0%B8%D0%B5%20%D0%B0%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D1%8B%D0%B5%20-%20Active%20dry%20yeast.JPG,1 pack,138,128,true,10 pack carton,552,527,true,,,,
French Fries 7,McCain,FROZEN-007,FROZEN ITEMS,"McCain french fries for restaurant kitchens, suitable for bulk prep and back-of-house operations.",packs,1 pack,3,64,Ready stock,365,frozen,available,false,true,4.7,17,75,7,"Bulk value,Kitchen essential",https://commons.wikimedia.org/wiki/Special:Redirect/file/French%20Fries.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/French%20Fries.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Fresh%20french%20fries.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/BK-French-Fries.jpg,1 pack,141,131,true,10 pack carton,564,539,true,,,,
Sweet Corn Kernel 8,Del Monte,CANNED-008,CANNED GOODS,"Del Monte sweet corn kernel for restaurant kitchens, suitable for bulk prep and back-of-house operations.",cans,1 can,4,66,Ready stock,270,ambient,available,false,false,4.8,18,80,8,"Restaurant staple,High repeat",https://commons.wikimedia.org/wiki/Special:Redirect/file/Fresh%20Sweet%20Corn.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Fresh%20Sweet%20Corn.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Raw%20Sweet%20Corn.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Sweet%20corn.jpg,1 can,144,134,true,12 can case,576,551,true,,,,
Cold Coffee Premix 9,Continental,BEVERA-009,BEVERAGE BASES,"Continental cold coffee premix for restaurant kitchens, suitable for bulk prep and back-of-house operations.",packs,1 pack,5,68,Dispatch in 24 hrs,270,dry,available,false,false,4.9,19,85,9,"Bulk value,Kitchen essential",https://commons.wikimedia.org/wiki/Special:Redirect/file/Cold%20coffee%20%2882723%29.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cold%20coffee%20%2882723%29.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Iced%20coffee.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Iced%20Coffee%20%289606187442%29.jpg,1 pack,147,137,true,10 pack carton,588,563,true,,,,
Food Safe Sanitizer 10,Diversey,CLEANI-010,CLEANING SUPPLIES,"Diversey food safe sanitizer for restaurant kitchens, suitable for bulk prep and back-of-house operations.",bottles,1 bottle,1,70,Ready stock,270,ambient,available,false,false,4.0,20,90,10,"Restaurant staple,High repeat",https://commons.wikimedia.org/wiki/Special:Redirect/file/Hand%20sanitizer%20bottle.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Hand%20sanitizer%20bottle.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Hand%20Sanitizer%20%284157728004%29.jpg|https://commons.wikimedia.org/wiki/Special:Redirect/file/Instant%20Hand%20Sanitizer.png,1 bottle,150,140,true,6 bottle case,600,575,true,,,,
